품목기준코드,제품명,제품영문명,업체명,업체영문명,주성분,첨가제,품목분류,전문의약품,주성분영문,효능
201507217,"1. 포비딘인후스프레이액(포비돈요오드)(바닐라향), 2. 포비딘인후스프레이액(포비돈요오드)(청포도향)",Povidine Throat Spray Sol.,(주)퍼슨,"Firson Co., Ltd.",포비돈 요오드,"프로필렌글리콜,청포도71334,자일리톨,유칼립톨,에탄올(95),효소처리스테비아,L-멘톨,요오드화칼륨,바닐라향 HF-63374,농글리세린,정제수",,일반의약품,Povidone Iodine,"구강내 살균소독, 인두염, 후두염, 구내염, 발치후 및 구내수술후 살균소독, 구취증"
200511943,1.셀레나제100마이크로그램퍼오랄액(아셀렌산나트륨오수화물)2.셀레나제티퍼오랄액(아셀렌산나트륨오수화물),"selenase 100 microgram peroral(sodium selenite pentahydrate), selenase T peroral(sodium selenite pentahydrate)",비오신코리아(주),biosynkorea,아셀렌산나트륨오수화물,"염화나트륨,희석염산,정제수",,일반의약품,Sodium Selenite Pentahydrate,영양공급으로 보충될 수 없는 셀레늄 결핍 환자에서 셀레늄 보급
201701571,1.셀레뉴원오랄액(아셀렌산나트륨오수화물) 2.셀큐민185오랄액(아셀렌산나트륨오수화물),Selenew-one Oral solution,(주)한국비엠아이,BMI KOREA,아셀렌산나트륨오수화물,"심황색소,인산이수소나트륨이수화물,인산수소나트륨수화물,염화나트륨,정제수,D-소르비톨",,일반의약품,Sodium Selenite Pentahydrate,영양공급으로 보충될 수 없는 셀레늄 결핍 환자에서 셀레늄 보급
199200813,1.영진구론산바몬드액2.영진구론산바몬드스파클링액,1. Yungjin Guronsan Varmond Sol. 2.Yungjin Guronsan Varmond sparkling Sol.,해태에이치티비(주),"HAITAI htb Co., Ltd.",글루쿠로노락톤/오로트산수화물/카페인무수물/니코틴산아미드/리보플라빈/피리독신염산염,"시트르산수화물,이성화당,염화나트륨,백당,에탄올(95),파인애플엣센스에스,시트르산나트륨수화물,L-멘톨,효소처리스테비아,오렌지엣센스티엠,그레이프엣센스에프-723,꿀,DL-사과산,정제수,이산화탄소",,일반의약품,Glucuronolactone/Orotic Acid Hydrate/Anhydrous Caffeine/Nicotinamide/Riboflavin/Pyridoxine Hydrochloride,"자양강장, 피로회복"
200005559,1.큐앤큐포비돈거즈볼-중(포비돈요오드)2.큐앤큐포비돈거즈볼-대(포비돈요오드),Q&Q Povidone-Iodine Gauze Ball,큐앤큐팜(주),Q&Q pharm,포비돈요오드,"수산화나트륨,폴리옥시에틸렌옥틸페닐에테르,인산수소나트륨,멸균거즈볼,시트르산,농글리세린,정제수",,일반의약품,Povidone Iodine,"- 찢긴 상처, 화상, 창상의 살균소독 - 궤양, 농양의 살균소독 - 감염피부면의 소독 - 수술부위의 살균소독 - 주사 및 카테터부위의 소독"
201904494,5-엠씨크림(리도카인),5-MC Cream,주식회사 더유제약,"Theu PHARMACEUTICAL Co., Ltd.",리도카인,"트롤아민,메틸파라벤,소르빈산칼륨,폴리소르베이트60,카보머,스테아릴알코올,미리스트산이소프로필,정제수",,일반의약품,Lidocaine,남성 성기 촉각의 예민성 감소
201802476,가그린목액,Garglin Mok Sol.,동아제약(주),"Dong-A Pharmaceutical Co., Ltd.",벤지다민염산염/세틸피리디늄염화물수화물,"시트르산수화물,사카린나트륨수화물,조합향료(민트향S-9623),소르빈산칼륨,에탄올(95),조합향료(페퍼민트 후레이바 ZKF96023),농글리세린,폴리옥실40경화피마자유,정제수",,일반의약품,Benzydamine Hydrochloride/Cetylpyridinium Chloride Hydrate,"다음 질환에 의한 통증 및 염증 완화 및 살균: 치은염, 구내염, 발치 전·후"
201600574,가네진정,Ganezin Tab.,(주)셀트리온제약,"Celltrion Pharm, Inc.",오로트산카르니틴/항독성간장엑스/아데닌염산염/피리독신염산염/리보플라빈/시아노코발라민100배산,"크로스카르멜로오스나트륨,오파그로스클리어(97W19196),미결정셀룰로오스,초코렛트미크론,오파드라이200흰색(200F280000),오파드라이II빨강(85F35210),콜로이드성이산화규소,스테아르산마그네슘,초코렛분말향",,일반의약품,Carnitine Orotate/Antitoxic Liver Extract/Adenine Hydrochloride/Pyridoxine Hydrochloride/Riboflavin/Cyanocobalamin Powder 1%,"다음 질환의 보조 치료 : 만성 간염, 독성 간질환"
202005641,가네치온정100밀리그램(글루타티온(환원형)),Ganechion Tab. 100mg,주식회사 더유제약,"Theu PHARMACEUTICAL Co., Ltd.",글루타티온(환원형),"라우릴황산나트륨,미결정셀룰로오스,유당수화물,젤라틴,폴리에틸렌글리콜6000,산화티탄,스테아르산마그네슘,백당,콜로이드성이산화규소,카르복시메틸셀룰로오스칼슘,경질무수규산,탤크,아라비아고무,침강탄산칼슘,히드록시프로필셀룰로오스",,일반의약품,Glutathione (Reduced),"약물중독, 자가중독"
198601398,가네카정,Ganeca Tab.,지엘파마(주),GL Pharma,트리프롤리딘염산염수화물/슈도에페드린염산염,"미결정셀룰로오스,유당수화물,포비돈,스테아르산마그네슘,경질무수규산,히드록시프로필셀룰로오스",,일반의약품,Triprolidine Hydrochloride Hydrate/Pseudoephedrine Hydrochloride,"코감기, 알레르기 및 혈관운동성 코염에 의한 다음 증상의 완화 : 재채기, 콧물, 코막힘, 눈물 코감기, 알레르기 및 혈관운동성 코염에 의한 다음 증상의 완화 : 재채기, 콧물, 코막힘"
