제품명,효능
"1. 포비딘인후스프레이액(포비돈요오드)(바닐라향), 2. 포비딘인후스프레이액(포비돈요오드)(청포도향)","구강내 살균소독, 인두염, 후두염, 구내염, 발치후 및 구내수술후 살균소독, 구취증"
1.셀레나제100마이크로그램퍼오랄액(아셀렌산나트륨오수화물)2.셀레나제티퍼오랄액(아셀렌산나트륨오수화물),영양공급으로 보충될 수 없는 셀레늄 결핍 환자에서 셀레늄 보급
1.셀레뉴원오랄액(아셀렌산나트륨오수화물) 2.셀큐민185오랄액(아셀렌산나트륨오수화물),영양공급으로 보충될 수 없는 셀레늄 결핍 환자에서 셀레늄 보급
1.영진구론산바몬드액2.영진구론산바몬드스파클링액,"자양강장, 피로회복"
1.큐앤큐포비돈거즈볼-중(포비돈요오드)2.큐앤큐포비돈거즈볼-대(포비돈요오드),"- 찢긴 상처, 화상, 창상의 살균소독 - 궤양, 농양의 살균소독 - 감염피부면의 소독 - 수술부위의 살균소독 - 주사 및 카테터부위의 소독"
5-엠씨크림(리도카인),남성 성기 촉각의 예민성 감소
가그린목액,"다음 질환에 의한 통증 및 염증 완화 및 살균: 치은염, 구내염, 발치 전·후"
가네진정,"다음 질환의 보조 치료 : 만성 간염, 독성 간질환"
가네치온정100밀리그램(글루타티온(환원형)),"약물중독, 자가중독"
가네카정,"코감기, 알레르기 및 혈관운동성 코염에 의한 다음 증상의 완화 : 재채기, 콧물, 코막힘, 눈물 코감기, 알레르기 및 혈관운동성 코염에 의한 다음 증상의 완화 : 재채기, 콧물, 코막힘"
가네타인액,간질환의 보조 치료제
가네탑골드연질캡슐,"다음 질환의 보조치료 : 만성 간질환, 간경변, 독성 간질환"
가네톡액,간질환의 보조 치료
가넥트액,"○ 다음 경우의 비타민 B1, B2, B6의 보급 - 육체피로 - 임신·수유기 - 병중·병후(병을 앓는 동안이나 회복 후)의 체력저하시 - 이 약에 함유된 비타민 등의 효능·효과는 다음과 같다. · 다음 증상의 완화 : 신경통, 근육통, 관절통(요통, 어깨결림 등), 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염 · 각기 · 눈의 피로"
가두벌크림,"벌레 물린데, 피부가려움, 습진, 두드러기, 피부염, 땀띠, 동창"
가딘정75밀리그램(라니티딘염산염),"위산과다, 속쓰림, 신트림"
가레오액(디히드록시디부틸에테르)," 소화불량증상(복부팽만감, 소화의 지연, 트림, 구역)의 개선"
가레오연질캡슐(디히드록시디부틸에테르),"소화불량증상(복부팽만감, 소화의 지연, 트림, 구역)의 개선"
가레오연질캡슐500밀리그램(디히드록시디부틸에테르),"소화불량증상(복부팽만감, 소화의 지연, 트림, 구역)의 개선"
"가소콜액(시메티콘)(군납용 : 시메티콘현탁액500밀리리터, SimethiconeOralSuspension500ml)","1) 위내시경 검사시 장내기포제거 2) 복부 X선 촬영시 장내가스제거 3) 위장관내 가스로 인한 복부 증상(복부팽만감, 공기연하증 등)의 개선"
가스부틴정100mg(트리메부틴말레산염),"1) 식도역류 및 열공헤르니아(틈새 탈장),위 십이지장염, 위 십이지장궤양에 있어서의 소화기능이상 (복통, 소화불량,구역, 구토) 2) 과민성대장증후군 및 경련성 결장 3) 소아 질환 : 습관성 구토, 비감염성 장관통과장애 (변비, 설사)"
가스앤드액(시메티콘),"1. 주효능 ㆍ 효과 1) 위내시경 검사 시 장내기포제거 2) 복부(배부분) X선 촬영 시 장내가스제거 3) 위장관내 가스로 인한 복부 증상(복부(배부분)팽만감, 공기연하증(공기삼킴증) 등)의 개선"
가스엑션쓰리연질캡슐(시메티콘)(수출용),": 고장(복부팽만), 팽창감, 충만감, 중압감, 통증, 경련 또는 과잉의 방귀의 치료 1) 위장관 수술등으로 발생되는 가스의 제거 2) 위내시경 검사나 장엑스선 촬영시 가스의 제거"
가스엑션연질캡슐(시메티콘)(수출용),": 고장(복부팽만), 팽창감, 충만감, 중압감, 통증, 경련 또는 과잉의 방귀의 치료 1) 위장관 수술등으로 발생되는 가스의 제거 2) 위내시경 검사나 장엑스선 촬영시 가스의 제거"
가스엑션투연질캡슐(시메티콘)(수출용),": 고장(복부팽만), 팽창감, 충만감, 중압감, 통증, 경련 또는 과잉의 방귀의 치료 1) 위장관 수술등으로 발생되는 가스의 제거 2) 위내시경 검사나 장엑스선 촬영시 가스의 제거"
가스제로구강필름(시메치콘),"위장관내 가스로 인한 복부 압박감, 복부 팽만감 및 배부름의 완화"
가스콘액(시메티콘),"1. 주효능 ㆍ 효과 1) 위내시경 검사 시 장내기포제거 2) 복부(배부분) X선 촬영 시 장내가스제거 3) 위장관내 가스로 인한 복부 증상(복부(배부분)팽만감, 공기연하증(공기삼킴증) 등)의 개선"
가스큐액(시메티콘),"1) 위내시경 검사시 장내기포제거 2) 복부 X선 촬영시 장내가스제거 3) 위장관내 가스로 인한 복부 증상(복부팽만감, 공기연하증 등)의 개선"
가스트로겔현탁액(수출용),"급성 ㆍ 만성통증, 위염, 십이지장궤양, 식도염, 방사선요법시 소화장애에의한 위통"
간프로액(L-아스파르트산-L-오르니틴),중증의 간질환 해독의 보조 치료(예: 간경변)
갈마겔현탁액(알마게이트),"다음 질환의 제산작용 및 증상의 개선 : 위·십이지장궤양, 위염, 위산과다, 속쓰림, 구역, 구토, 위통, 신트림"
갈타제산(베타-갈락토시다제(아스퍼길루스)),"유아의 유당불내에 의한 소화불량의 개선 단일증후성 설사, 급성소화불량증, 감기성설사, 백색변성 설사, 만성설사, 미숙아·신생아의 설사 경관영양식, 경구유동식등의 섭취시 유당불내에 의한 설사의 개선"
갈해담액,"기침, 가래, 천식"
감마린디액,"머릿니, 사면발이, 몸이의 감염증치료"
감마마그빅연질캡슐,- 육체피로 - 임신 ㆍ 수유기 - 병중 ㆍ 병후 (병을 앓는 동안이나 회복 후)의 체력저하시 - 노년기 - 이 약에 함유된 비타민 등의 효능 ㆍ 효과는 다음과 같다.
감막트연질캡슐(수출용),"심질환, 고혈압, 감염성 질환, 시력질환에 의한 여러 증상의 개선 비타민 A 및 C의 보급"
감바로과립,"감기 제증상 (콧물, 코막힘, 재채기, 인후(목구멍)통, 기침, 가래, 오한(춥고 떨리는 증상), 발열, 두통, 관절통, 근육통)의 완화"
감콜데이나이트정(수출용),"(정제) 감기의 제증상(콧물, 코막힘, 재채기, 인후통, 오한, 발열, 두통, 관절통, 근육통)의 완화"
감콜씨플러스캡슐,"감기의 제증상(콧물, 코막힘, 재채기, 인후통, 기침, 가래, 오한, 발열, 두통, 관절통, 근육통)의 완화"
감콜캡슐(수출용),"감기 제증상 (콧물, 코막힘, 재채기, 인후통, 기침, 가래, 오한, 발열, 두통, 관절통, 근육통)의 완화"
개비스콘더블액션현탁액,"다음의 위식도 역류의 증상 개선 : ○ 산 역류 ○ 속쓰림 ○ 위 내용물의 역류로 인한 소화불량 (예를 들어 식사 후, 임신 중, 역류성 식도염과 동반하는 경우의)"
개비스콘페퍼민트현탁액,"○ 산 역류 ○ 속쓰림 ○ 위 내용물의 역류로 인한 소화불량 (예를 들어 식사 후, 임신 중, 역류성 식도염과 동반하는 경우의)"
개비콘큐츄어블정(수출용),"위산과다, 속쓰림, 위부(상복부)불쾌감, 위부(상복부)팽만감, 체함, 구역, 구토, 위통, 신트림"
거글스프레이(포비돈요오드),"구강내 살균소독, 인두염, 후두염, 구내염, 발치후 및 구내수술후 살균소독, 구취증"
건아이점안액(폴리소르베이트80)(1회용),"눈의 건조증상의 완화, 자극의 일시적 경감"
건위황정,"위산과다, 속쓰림, 위부불쾌감, 위부팽만감, 체함, 구역, 구토, 위통, 신트림, 식욕감퇴(식욕부진), 소화불량, 과식"
건일이부프로펜연질캡슐400밀리그램,"- 감기로 인한 발열 및 동통(통증), 요통, 생리통, 류마티양 관절염, 연소성 류마티양 관절염, 골관절염(퇴행성 관절질환), 수술후 동통(통증) - 두통, 편두통, 치통, 근육통, 신경통, 강직성 척추염, 급성통풍, 건선(마른비늘증)성 관절염, 연조직손상(염좌(삠), 좌상(타박상)), 비관절 류마티스질환(건염(힘줄염), 건초염(힘줄윤활막염), 활액(윤활)낭염)"
게루삼엠정(건조수산화알루미늄겔),"다음 질환의 제산작용 및 증상의 개선 : 위.십이지장궤양, 위염, 위산과다"
게루삼정,"위산과다, 속쓰림, 위부불쾌감, 위부팽만감, 체함, 구역, 구토, 위통, 신트림."
게리동정(수출용),"감기 제증상 (콧물, 코막힘, 재채기, 인후통, 기침, 가래, 오한, 발열, 두통, 관절통, 근육통)의 완화"
게리틴연질캡슐(수출용),"심질환, 순환장애, 고혈압에 의한 여러 증상의 개선"
게보린릴랙스연질캡슐,"1. 두통, 치통, 발치후 동통(통증), 인후(목구멍)통, 귀의 통증, 관절통, 신경통, 요통, 근육통, 견통(어깨결림), 타박통, 골절통, 염좌통(삠통증), 월경통(생리통), 외상통의 진통, 2. 오한(춥고 떨리는 증상), 발열시의 해열"
게보린브이정(아세트아미노펜),"감기로 인한 발열 및 동통(통증), 두통, 신경통, 근육통, 월경통, 염좌통(삔 통증) 치통, 관절통, 류마티양 동통(통증)"
게보린소프트연질캡슐,"1. 두통, 치통, 발치후 동통(통증), 인후(목구멍)통, 귀의 통증, 관절통, 신경통, 요통, 근육통, 견통(어깨결림), 타박통, 골절통, 염좌통(삠통증), 월경통(생리통), 외상통의 진통, 2. 오한(춥고 떨리는 증상), 발열시의 해열"
게보린에스정(수출용),"* 두통, 치통, 발치(이를 뽑음)후 동통(통증), 인후(목구멍)통, 귀의 통증, 관절통, 신경통, 요(허리)통, 근육통, 견통(어깨결림), 타박통, 골절통, 염좌통(삔 통증), 월경통(생리통), 외상(상처)통의 진통 * 오한(춥고 떨리는 증상), 발열시의 해열"
게보린에프정(수출용),"* 두통, 치통, 발치(이를 뽑음)후 동통(통증), 인후(목구멍)통, 귀의 통증, 관절통, 신경통, 요(허리)통, 근육통, 견통(어깨결림), 타박통, 골절통, 염좌통(삔 통증), 월경통(생리통), 외상(상처)통의 진통 * 오한(춥고 떨리는 증상), 발열시의 해열"
게보린정(수출명:돌로린정)," - 두통, 치통, 발치(이를 뽑음)후 동통(통증), 인후(목구멍)통, 귀의 통증, 관절통, 신경통, 요(허리)통, 근육통, 견통(어깨통증), 타박통, 골절통, 염좌통(삔 통증), 월경통(생리통), 외상(상처)통의 진통 - 오한(춥고 떨리는 증상), 발열시의 해열"
게보린쿨다운정,"1. 두통, 치통, 발치 후 동통(통증), 인후통, 귀의 통증, 관절통, 신경통, 요통, 근육통, 견통(어깨결림), 타박통, 골절통, 염좌통(삠통증), 월경통(생리통), 외상통의 진통 2. 오한, 발열시의 해열"
게보핏맥스플라스타(플루르비프로펜),"다음 질환 및 증상의 진통 ㆍ 소염 : 퇴행성관절염(골관절염), 어깨관절주위염, 건 ㆍ 건초염, 상완골상과염(테니스 엘보우 등), 근육통, 외상후의 종창 ㆍ 동통"
게보핏스트롱카타플라스마(디클로페낙나트륨),"골관절염, 어깨관절 주위염, 힘줄 및 힘줄윤활막염, 힘줄주위염, 팔꿈치 통증(테니스엘보), 근육통, 외상 후 부기 및 통증"
게보핏파워플라스타(디클로페낙나트륨),"다음 질환 및 증상의 진통, 소염(항염) 1) 퇴행성 관절염(골(뼈)관절염) 2) 어깨관절 주위염 3) 힘줄 및 힘줄윤활막염 4) 힘줄주위염 5) 위팔뼈상과염(테니스엘보 등) 6) 근육통(근, 근막성 요(허리)통증 등) 7) 외상(상처) 후 부기 및 통증"
게이트정(알마게이트),"다음 질환의 제산작용 및 증상의 개선 : 위·십이지장궤양, 위염, 위산과다, 속쓰림, 구역, 구토, 위통, 신트림"
겔마현탁액,"위염, 식도염, 소화불량, 가슴쓰림, 열공(구멍)헤르니아(탈장), 복부(배부분)팽만감"
겔비스톤현탁액,"다음의 위식도 역류의 증상 개선 : ○ 산 역류 ○ 속쓰림 ○ 위 내용물의 역류로 인한 소화불량 (예를 들어 식사 후, 임신 중, 역류성 식도염과 동반하는 경우의)"
겔투현탁액(알마게이트),"다음 질환의 제산작용 및 증상의 개선 : 위·십이지장궤양, 위염, 위산과다, 속쓰림, 구역, 구토, 위통, 신트림"
겔티-포르테연질캡슐,"- 다음증상의 완화 : 신경통, 근육통, 관절통(요통, 어깨결림등), 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(허염), 습진, 피부염 - 눈의 건조감의 완화, 야맹증(밤에 잘 못보는 증상), 각기, 눈의 피로 - 뼈.이의 발육불량, 구루병의 예방 - 말초혈행장애 및 갱년기시 다음 증상의 완화 : 어깨.목결림, 수족저림. 수족냉증(손 발이 차가움)"
겔포스엘현탁액,"위산과다, 속쓰림, 위부불쾌감, 위부팽만감, 체함, 구역, 구토, 위통, 신트림, 식욕감퇴(식욕부진), 소화불량, 과식"
겔포스엠현탁액,"위산과다(위염, 위·십이지장궤양에 관련된 것도 포함), 속쓰림, 위부불쾌감, 위부팽만감, 체함, 구역, 구토, 위통, 신트림"
겔포스현탁액(인산알루미늄겔),"다음 질환의 제산작용 및 증상의 개선 : 위.십이지장 궤양, 위염, 위산과다(속쓰림, 위통, 구역, 구토)"
겟투겔(케토프로펜),"다음 질환 및 증상의 진통ㆍ소염 : 퇴행성관절염(골관절염), 어깨관절주위염, 건ㆍ건초염, 건주위염, 상완골상과염(테니스 엘보우 등), 근육통, 외상후의 종창ㆍ동통"
경남그린웰연질캡슐,"- 육체피로, 임신·수유기, 병중·병후(병을 앓는 동안이나 회복 후)의 체력저하시, 노년기 - 이 약에 함유된 비타민 등의 효능·효과는 다음과 같다."
"경남글루코사민캡슐500mg
(결정글루코사민황산염)(수출용)(수출명: Teoramin500capsule)",다음 질환에 사용할 수 있다. : 골관절염(퇴행성 관절질환)
경남나프록센연질캡슐,"류마티양 관절염, 골(뼈)관절염(퇴행성 관절질환), 강직성 척추염, 건염(힘줄염), 급성통풍, 월경곤란증 활액낭염, 골격근장애(염좌(삠), 좌상(타박상), 외상(상처), 요천통(허리통증)), 수술후 동통(통증), 편두통, 발치(이를 뽑음)후 동통(통증)"
경남데일리디츄어블정,다음경우의 비타민 D의 보급 - 임신ㆍ수유기 - 발육기 - 노년기 - 이 약에 함유된 비타민 등의 효능ㆍ효과는 다음과 같다.
경남비타민씨정,"1) 임신ㆍ수유기 및 병중·병후(병을 앓는 동안이나 회복 후)의 체력저하 2) 육체피로 1) 잇몸출혈, 비출혈(코피), 혈뇨 등의 모세관출혈 2) 햇빛ㆍ피부병 등에 의한 색소침착(기미, 주근깨) 3) 흡수불량"
경남아시클로버크림(아시클로버),단순포진(물집) 바이러스 감염증(초기 및 재발성 생식기 포진(물집)과 구순(입술)포진(물집) 포함)
경남티어앤톡모이스처점안액1.0%(카르복시메틸셀룰로오스나트륨)(1회용),"눈의 건조 또는 바람·태양에 노출되어 생기는 화끈거리는 증상, 자극감, 불쾌감의 일시적 완화"
경남티어앤톡점안액(트레할로스수화물)(1회용),"다음의 요인으로 인해 발생하는 눈의 건조(불쾌감, 찌르듯한 통증, 자극)나 눈의 피로에 사용한다. : 바람, 연기, 공해, 먼지, 건조한 열, 에어컨, 항공여향, 장시간 컴퓨터 사용"
경동아세트아미노펜정(수출용),"감기로 인한 발열 및 동통, 두통, 신경통, 근육통, 월경통, 염좌통 치통, 관절통, 류마티양 동통"
경동아스피린장용정,"1) 다음 질환에서 혈전 생성 억제 · 심근경색 · 뇌경색 · 불안정형 협심증 2) 관상동맥 우회술(CABG) 또는 경피경관 관상동맥 성형술(PTCA) 후 혈전 생성 억제 3) 고위험군환자(허혈성 심장질환의 가족력, 고혈압, 고콜레스테롤혈증, 비만, 당뇨 등 복합적 위험인자를 가진 환자)에서 심혈관계 위험성 감소"
경동파니틴정10밀리그램(파모티딘),"위산과다, 속쓰림, 신트림"
경동판테놀연고(덱스판테놀),"상처, 화상, 찢긴 상처(수유기 중의 유두균열(갈라짐) 등), 욕창, 급ㆍ만성 피부염, 습진, 피부궤양, 기저귀발진, 햇볕에 탄 데(일광피부염)의 보조치료"
경보아스피린장용정,"1) 다음 질환에서 혈전 생성 억제 · 심근경색 · 뇌경색 · 불안정형 협심증 2) 관상동맥 우회술(CABG) 또는 경피경관 관상동맥 성형술(PTCA) 후 혈전 생성 억제 3) 고위험군환자(허혈성 심장질환의 가족력, 고혈압, 고콜레스테롤혈증, 비만, 당뇨 등 복합적 위험인자를 가진 환자)에서 심혈관계 위험성 감소"
계안겔(수출용),"습진, 피부염, 땀띠, 옻 등에 의한 피부염, 가려움, 벌레물림, 두드러기, 동창"
고가이큐캡슐(수출명:gogaiQCapsules),철 결핍성 빈혈의 예방 및 치료
고닐고포르테경고제,"티눈, 못(굳은살)"
고려아시클로버크림(아시클로버)(수출명:바이락스크림(VIRAXCream)이노바이락스5%크림(INNOVIRAX5%Cream),단순포진(물집) 바이러스 감염증(초기 및 재발성 생식기 포진(물집)과 구순포진(물집) 포함)
고운자임맘정,": 임신∙수유기, 육체피로, 병중∙병후(병을 앓는 동안이나 회복 후)의 체력저하시, 발 육기, 노년기 : 뼈∙이의 발육불량, 구루병의 예방"
고칼디정,"-임신·수유기, 발육기, 노년기 -이 약에 함유된 비타민 등의 효능·효과는 다음과 같다 · 뼈, 이의 발육불량 · 구루병의 예방"
골드본드안티이치크림(수출용),다음과 관련된 증상의 통증과 가려움의 일시적 완화 :
골드타민연질캡슐,"- 육체피로 - 임신·수유기 - 병중·병후(병을 앓는 동안이나 회복 후)의 체력저하시 - 노년기 - 이 약에 함유된 비타민 등의 효능,효과는 다음과 같다"
골사민캡슐(결정글루코사민황산염)(수출명 : NEOCOMIN), 경증에서 중등도의 골관절염(퇴행성관절염)
광동네모파스카타플라스마,다음 증상의 진통 ㆍ 소염(항염) 1) 요통 2) 타박상 3) 삠 4) 어깨결림 5) 관절통 6) 근육통 7) 근육피로 8) 동창(언 상처) 9) 골절통
광동동의한방고카타플라스마,"다음 증상의 진통·소염(항염) : 삠, 타박상, 근육통, 골절통, 관절통, 요통, 어깨결림, 동창(언 상처)"
광동리버샷액,"육체피로ㆍ병중병후ㆍ식욕부진ㆍ영양장애ㆍ발열성소모성질환ㆍ임신ㆍ수유기 등의 경우의 영양보급, 자양강장, 허약체질"
광동리버샷정,"육체피로ㆍ병중병후ㆍ식욕부진ㆍ영양장애ㆍ발열성소모성질환ㆍ임신ㆍ수유기 등의 경우의 영양보급, 자양강장, 허약체질"
광동리버샷정300,"육체피로ㆍ병중병후ㆍ식욕부진ㆍ영양장애ㆍ발열성소모성질환ㆍ임신ㆍ수유기 등의 경우의 영양보급, 자양강장, 허약체질"
광동만수고골드플라스타,다음 증상의 진통 ㆍ 소염(항염) 1) 삠 2) 타박상 3) 근육통 4) 관절통 5) 골(뼈)절통 6) 요(허리)통 7) 어깨결림 8) 동창(언 상처)
광동벤포파워액,"비타민B1(벤포티아민) - 다음 증상의 완화 : 신경통, 근육통, 관절통(요통, 어깨결림 등) - 각기 - 눈의 피로 비타민B2(리보플라빈) 비타민B6(피리독신염산염) - 다음 증상의 완화 : 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염"
광동벤포파워제트액,"1. 다음경우의 비타민B1, B2, B6의 보급 : 육체피로, 임신‧수유기, 병중‧병후(병을 앓는 동안이나 회복 후)의 체력저하시 2. 이 약에 함유된 비타민 등의 효능‧효과는 다음과 같다. - 다음 증상의 완화 : 신경통, 근육통, 관절통(요통, 어깨결림 등), 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염 - 각기, 눈의 피로 3. 아연의 보급"
광동비타민A유연질캡슐20만아이유(수출용),"비타민 A 결핍성 야맹증, 안구건조증, 급성결핍(급성 호흡기 감염, 급성설사, 홍역 등)의 위험이 높은 어린이"
광동비타민A유연질캡슐(수출용),"비타민 A 결핍성 야맹증, 안구건조증, 급성결핍(급성 호흡기 감염, 급성설사, 홍역 등)의 위험이 높은 어린이"
광동아스피린장용정100mg,"1) 다음 질환에서 혈전 생성 억제 · 심근경색 · 뇌경색 · 불안정형 협심증 2) 관상동맥 우회술(CABG) 또는 경피경관 관상동맥 성형술(PTCA) 후 혈전 생성 억제 3) 고위험군환자(허혈성 심장질환의 가족력, 고혈압, 고콜레스테롤혈증, 비만, 당뇨 등 복합적 위험인자를 가진 환자)에서 심혈관계 위험성 감소"
